['133115', '0.03', '-57.20', '0.00', '0.00', '0.81', '-6.53', '-0.50']
['133141', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.61', '-0.50']
['133167', '0.03', '-57.20', '0.00', '0.00', '0.85', '-6.75', '-0.50']
['133193', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['133219', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.03', '-0.50']
['133245', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.04', '-0.50']
['133271', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.93', '-0.50']
['133297', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.90', '-0.50']
['133323', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.92', '-0.50']
['133349', '0.03', '-57.20', '0.00', '0.00', '0.90', '-7.01', '-0.50']
['133375', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.06', '-0.50']
['133401', '0.03', '-57.20', '0.00', '0.00', '0.92', '-7.12', '-0.50']
['133427', '0.03', '-57.20', '0.00', '0.00', '0.92', '-7.12', '-0.50']
['133453', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.18', '-0.50']
['133479', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.27', '-0.50']
['133505', '0.03', '-57.20', '0.00', '0.00', '0.98', '-7.42', '-0.50']
['133531', '0.03', '-57.20', '0.00', '0.00', '1.01', '-7.56', '-0.50']
['133557', '0.03', '-57.20', '0.00', '0.00', '1.02', '-7.61', '-0.50']
['133583', '0.03', '-57.20', '0.00', '0.00', '1.03', '-7.67', '-0.50']
['133609', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.69', '-0.50']
['133635', '0.03', '-57.20', '0.00', '0.00', '1.04', '-7.71', '-0.50']
['133661', '0.03', '-57.20', '0.00', '0.00', '1.02', '-7.61', '-0.50']
['133687', '0.03', '-57.20', '0.00', '0.00', '1.02', '-7.59', '-0.50']
['133713', '0.03', '-57.20', '0.00', '0.00', '1.03', '-7.66', '-0.50']
['133739', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.74', '-0.50']
['133765', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.77', '-0.50']
['133791', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.77', '-0.50']
['133817', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.77', '-0.50']
['133843', '0.03', '-57.20', '0.00', '0.00', '1.07', '-7.85', '-0.50']
['133869', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.97', '-0.50']
['133895', '0.03', '-57.20', '0.00', '0.00', '1.11', '-8.06', '-0.50']
['133921', '0.03', '-57.20', '0.00', '0.00', '1.10', '-7.99', '-0.50']
['133947', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.94', '-0.50']
['133973', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.94', '-0.50']
['133999', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.91', '-0.50']
['134025', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.88', '-0.50']
['134051', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.91', '-0.50']
['134077', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.90', '-0.50']
['134103', '0.03', '-57.20', '0.00', '0.00', '1.07', '-7.85', '-0.50']
['134129', '0.03', '-57.20', '0.00', '0.00', '1.06', '-7.81', '-0.50']
['134155', '0.03', '-57.20', '0.00', '0.00', '1.05', '-7.75', '-0.50']
['134181', '0.03', '-57.20', '0.00', '0.00', '1.06', '-7.80', '-0.50']
['134207', '0.03', '-57.20', '0.00', '0.00', '1.08', '-7.89', '-0.50']
['134233', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.97', '-0.50']
['134259', '0.03', '-57.20', '0.00', '0.00', '1.11', '-8.03', '-0.50']
['134285', '0.03', '-57.20', '0.00', '0.00', '1.12', '-8.10', '-0.50']
['134311', '0.03', '-57.20', '0.00', '0.00', '1.13', '-8.16', '-0.50']
['134337', '0.03', '-57.20', '0.00', '0.00', '1.14', '-8.21', '-0.50']
['134363', '0.03', '-57.20', '0.00', '0.00', '1.15', '-8.27', '-0.50']
['134389', '0.03', '-57.20', '0.00', '0.00', '1.15', '-8.23', '-0.50']
['134415', '0.03', '-57.20', '0.00', '0.00', '1.14', '-8.22', '-0.50']
['134441', '0.03', '-57.20', '0.00', '0.00', '1.13', '-8.16', '-0.50']
['134467', '0.03', '-57.20', '0.00', '0.00', '1.13', '-8.13', '-0.50']
['134493', '0.03', '-57.20', '0.00', '0.00', '1.11', '-8.07', '-0.50']
['134519', '0.03', '-57.20', '0.00', '0.00', '1.09', '-7.96', '-0.50']
